review_id,iteration,classify_agent,validation_agent,master_agent_dynamic,iteration_elapsed
0,1,10.47,2.28,0.0,12.75
1,1,10.05,3.19,5.92,19.16
1,2,14.49,2.27,0.0,16.76
2,1,10.7,2.21,0.0,12.91
3,1,11.26,3.61,4.3,19.16
3,2,12.5,2.15,0.0,14.65
4,1,9.72,2.36,0.0,12.08
5,1,10.2,2.2,0.0,12.41
6,1,9.21,4.19,3.23,16.62
6,2,10.74,2.61,0.0,13.35
7,1,10.49,2.63,0.0,13.11
8,1,10.53,2.78,0.0,13.31
9,1,9.53,2.21,0.0,11.74
10,1,9.69,2.47,0.0,12.16
11,1,11.14,2.33,0.0,13.47
12,1,10.01,3.25,0.0,13.26
13,1,9.53,2.93,0.0,12.47
14,1,10.66,2.55,0.0,13.21
15,1,10.59,1.98,0.0,12.58
16,1,9.26,2.65,0.0,11.91
17,1,10.35,2.38,0.0,12.73
18,1,11.69,2.87,0.0,14.56
19,1,10.01,2.54,0.0,12.54
20,1,10.68,2.54,0.0,13.23
21,1,10.32,2.1,0.0,12.42
22,1,11.41,3.48,5.9,20.79
22,2,14.34,25.23,4.23,43.81
22,3,15.64,5.38,0.0,21.02
23,1,12.09,7.85,3.84,23.78
23,2,28.81,4.96,0.0,33.77
24,1,12.09,2.99,0.0,15.08
25,1,14.77,2.28,0.0,17.05
26,1,9.29,2.46,0.0,11.75
27,1,9.84,2.41,0.0,12.25
28,1,10.35,3.87,4.0,18.22
28,2,16.22,2.47,0.0,18.69
29,1,11.12,4.75,4.44,20.32
29,2,12.86,2.08,0.0,14.94
30,1,10.22,2.08,0.0,12.3
31,1,9.91,3.23,3.36,16.5
31,2,11.53,2.42,0.0,13.95
32,1,9.91,2.42,0.0,12.33
33,1,10.99,2.86,0.0,13.85
34,1,10.54,3.37,3.69,17.61
34,2,11.73,4.28,4.47,20.48
34,3,27.08,2.61,0.0,29.69
35,1,10.03,2.79,3.15,15.97
35,2,11.35,2.89,3.36,17.6
35,3,12.76,3.24,0.0,15.99
36,1,12.69,3.87,6.4,22.95
36,2,17.03,2.6,0.0,19.63
37,1,9.26,2.3,0.0,11.56
38,1,9.25,5.55,0.0,14.79
39,1,9.73,2.67,0.0,12.4
40,1,11.8,2.65,0.0,14.45
41,1,10.94,2.59,0.0,13.53
42,1,11.03,2.37,0.0,13.4
43,1,10.08,2.33,0.0,12.41
44,1,9.39,3.19,2.93,15.51
44,2,11.37,2.43,0.0,13.8
45,1,8.74,2.24,0.0,10.97
46,1,11.86,2.36,0.0,14.23
47,1,11.17,2.25,0.0,13.42
48,1,11.15,3.58,6.57,21.3
48,2,10.54,2.15,0.0,12.68
49,1,10.17,2.47,0.0,12.64
50,1,10.09,1.94,0.0,12.03
51,1,9.78,2.83,5.01,17.62
51,2,13.98,2.26,0.0,16.24
52,1,10.21,4.07,6.13,20.41
52,2,14.42,2.58,0.0,17.01
53,1,9.79,3.57,3.61,16.97
53,2,10.74,2.35,0.0,13.1
54,1,9.09,3.29,0.0,12.38
55,1,10.14,2.4,0.0,12.54
56,1,8.92,2.3,0.0,11.22
57,1,8.76,2.42,0.0,11.18
58,1,9.31,2.29,0.0,11.6
59,1,9.87,3.12,3.63,16.62
59,2,11.44,3.15,3.13,17.73
59,3,13.94,2.38,0.0,16.32
60,1,10.13,2.77,3.44,16.35
60,2,13.24,2.36,0.0,15.6
61,1,10.34,2.64,0.0,12.98
62,1,9.28,2.42,0.0,11.7
63,1,9.38,2.33,0.0,11.71
64,1,10.99,3.57,6.45,21.01
64,2,13.21,2.3,0.0,15.52
65,1,9.76,2.32,0.0,12.08
66,1,13.28,5.8,7.31,26.38
66,2,15.92,2.68,0.0,18.6
67,1,10.87,2.23,0.0,13.1
68,1,9.02,4.38,9.49,22.89
68,2,13.43,3.71,0.0,17.14
69,1,11.62,2.71,0.0,14.33
70,1,12.78,3.8,0.0,16.59
71,1,11.74,2.8,3.8,18.34
71,2,13.38,2.79,0.0,16.17
72,1,12.25,4.19,5.76,22.2
72,2,14.58,2.93,0.0,17.51
73,1,10.24,3.08,3.24,16.55
73,2,15.72,3.68,0.0,19.4
74,1,16.26,2.92,0.0,19.18
75,1,11.05,4.08,3.99,19.12
75,2,11.26,2.38,0.0,13.64
76,1,10.51,2.58,0.0,13.09
77,1,9.04,2.35,0.0,11.4
78,1,10.49,2.73,0.0,13.22
79,1,11.01,3.95,3.8,18.76
79,2,12.3,2.45,0.0,14.75
80,1,10.22,5.47,2.95,18.64
80,2,12.16,5.12,0.0,17.29
81,1,9.88,2.76,0.0,12.64
82,1,11.99,3.32,3.82,19.12
82,2,11.36,2.43,0.0,13.79
83,1,9.59,2.83,4.1,16.52
83,2,12.9,3.0,0.0,15.9
84,1,10.21,3.35,3.35,16.91
84,2,12.9,2.77,0.0,15.67
85,1,10.35,2.76,2.66,15.77
85,2,10.41,2.2,0.0,12.61
86,1,10.63,3.65,2.89,17.16
86,2,12.28,2.37,0.0,14.65
87,1,9.69,2.27,0.0,11.96
88,1,10.64,3.66,3.67,17.97
88,2,12.89,3.66,0.0,16.55
89,1,9.64,2.99,3.9,16.53
89,2,12.63,2.82,0.0,15.45
90,1,11.16,4.37,4.81,20.35
90,2,13.58,2.48,0.0,16.06
91,1,9.81,3.84,2.89,16.54
91,2,11.78,2.77,0.0,14.56
92,1,10.9,3.66,3.76,18.32
92,2,13.12,3.6,0.0,16.72
93,1,13.31,6.15,5.75,25.21
93,2,13.73,2.55,0.0,16.28
94,1,9.98,3.81,0.0,13.79
95,1,9.79,2.38,0.0,12.17
96,1,9.67,2.82,0.0,12.49
97,1,10.14,2.33,0.0,12.47
98,1,9.41,3.19,0.0,12.6
99,1,10.32,2.6,0.0,12.92
